id,category_id,description,optional,conversation_id
1,1,"<p>JavaScript ist...</p><ul><li>Dynamisch typisiert<dl><dd>Variablen können unterschiedliche Datentypen aufnehmen</dd></dl></li><li>Objektorientiert<dl><dd>Es gibt Objekte, Vererbung, Polymorphie</dd></dl></li><li>Prototypen-basiert<dl><dd>Objekte werden über Prototypen konstriert</dd></dl></li></ul>",f,
2,1,"<p>JavaScript kann in HTML über drei Möglichkeiten eingebunden werden:</p><ol><li>In externen Dateien im Header<dl><dd>&lt;script src=""Dateiname.js"" /&gt;</dd></dl></li><li>Einbettung im Dokument an beliebiger Stelle<dl><dd>&lt;script type=""text/javascript""&gt; <i>JavaScript Code</i> &lt;/script&gt;</dd><dd><br/>Code wird sofort ausgeführt, wenn der Webbrowser die Stelle einliest. Es kann also sein, dass Elemente, die ""weiter unten"" im Dokument noch nicht ansprechbar sind <br />deshalb: Am Ende des &lt;body&gt; Tags einfügen	</dd></dl></li><li>In speziellen Attributen in HTML-Elementen als Aktionen<dl><dd>&lt;button onclick="" <i>JavaScript Code</i> ""&gt;Cooler Buttonname&lt;/button&gt;</dd></dl></li></ol>",f,
3,1,"<p>Kommentare können wie in anderen Programmiersprachen mittels ...</p><ul><li>// Einzeiliger Kommentar</li><li>/*<br/>Mehrzeiliger <br/>Kommentar <br/>*/</li></ul><p>... eingefügt werden</p>",f,
4,1,"<p>Eine Ausgabe von Inhalten kann auf zwei Weisen erfolgen:</p><ol><li>alert: Gibt eine PopUp-Meldung in Form eines Dialogfensters im Webbrowser aus</li><li>console: Gibt Nachrichten in der Entwicklerkonsole des Webbrowsers aus<ul><li>.log() </br>Nachricht wird ohne weiteres Highlighting ausgegeben</li><li>.warn() </br>Nachricht wird als Warnung (häufig gelb) ausgegeben</li><li>.error() </br>Nachricht wird als Fehler (häufig rot) ausgegeben</li></ul></li></ol>",f,
5,1,"<p>Es gibt einen ""Strict Mode"", der ...</p><ul><li>Fehler meldet, sobald z.B. auf nicht deklarierte Variablen zugegriffen wird</li><li>Dich vor Fehlern bewahrt, die schwer zu finden sein können</li><li>Über ""use strict""; in der ersten Zeile des Codes aktiviert wird<br/>(Du musst diesen nicht selbst aktivieren, das hat der nette Entwickler dieser Lernumgebung schon für dich gemacht)</li></ul>",f,
6,2,"<p>JavaScript kennt die folgenden&nbsp;<strong>primitiven Darentypen</strong>:</p><ul><li><strong>string&nbsp;</strong>(Zeichenketten)</li><li><strong>number&nbsp;</strong>(Zahlenwerte)</li><li><strong>boolean</strong> (wahr | falsch)</li></ul><p>Spezielle Werte:</p><ul><li><strong>null</strong> (Kein Wert)</li><li><strong>undefined</strong> (Nicht definierter Wert)</li></ul>",f,
7,2,"<p><strong>Operatoren</strong></p><table ><tbody><tr><td style=""background-color: grey; color: white;"">Operator</td><td style=""background-color: grey; color: white;"">Beschreibung</td><td style=""background-color: grey; color: white;"">Operator und Zuweisung</td></tr><tr><td>+</td><td>Addition</td><td>x += y</td></tr><tr><td>-</td><td>Subtraktion</td><td>x -= y</td></tr><tr><td>*</td><td>Multiplikation</td><td><p>x *= y</p></td></tr><tr><td>&nbsp;/</td><td>Division</td><td><p>x /= y</p></td></tr><tr><td>%</td><td>Modulo</td><td>x %= y</td></tr><tr><td>++</td><td>Inkrement</td><td>&nbsp;</td></tr><tr><td>--</td><td>Dekrement</td><td>&nbsp;</td></tr></tbody></table>",f,
8,2,"<p><strong>Vergleichsoperatoren:</strong></p><table ><tbody><tr><td style=""background-color: grey; color: white;"">Operator</td><td style=""background-color: grey; color: white;"">Beschreibung</td></tr><tr><td>==</td><td>Gleichheit</td></tr><tr><td>===</td><td>Typ- und Wertgleichheit</td></tr><tr><td>!=</td><td>Ungleich</td></tr><tr><td>!==</td><td>Typ- und Wertungleichheit</td></tr><tr><td>&gt;</td><td>Gr&ouml;&szlig;er als</td></tr><tr><td>&lt;</td><td>Kleiner als</td></tr><tr><td>&gt;=</td><td>Gr&ouml;&szlig;er oder gleich</td></tr><tr><td>&lt;=</td><td>Kleiner oder gleich</td></tr></tbody></table>",f,
9,2,"<p><strong>Strings</strong></p><p>JavaScript bietet ab ES6 viele Funktionen nativ an, um komfortabel mit Strings arbeiten zu k&oumlnnen</p><p style=""padding-left: 30px;"">var&nbsp;<em>str</em> = This is a ""message&apos;;<br />var str = ""This is a &apos;message"";</p><p>&nbsp;Sonderzeichen wie "" (doppelte Anf&uuml;hrungsstriche) und &apos; (einfache Anf&uumlhrungsstriche) m&uuml;ssen je nach Verwendung maskiert werden</p><p style=""padding-left: 30px;"">&apos; =&gt; \&apos;<br />""=&gt; \""<br />\ =&gt; \\</p><p style=""padding-left: 30px;"">z.B.: var str = &apos;This is a \&apos;message&apos;;</p>",f,
10,2,"p>&nbsp;<strong>Methoden/Attribute</strong></p><table ><tbody><tr><td style=""background-color: grey; color: white;"">&nbsp;Methode/Attribut</td><td style=""background-color: grey; color: white;"">Beschreibung.</td></tr><tr><td >&nbsp;.length</td><td >Gibt die L&auml;nge des String zur&uuml;ck</td></tr><tr><td >.indexOf(needle)</td><td >Gibt die erste Position des Strings <em>needle</em> zur&uuml;ck. -1, fallsnichts gefunden wurde.</td></tr><tr><td >.lastIndexOf(needle)</td><td >Gibt die erste Position des letztenn Vorkommens des Strings&nbsp<em>needle</em> zur&uuml;ck. -1, falls nicht gefunden wurde.</td></tr><tr><td >&nbsp;&nbsp;.substring(startpos, length)</td><td >&nbsp;Gibt einen neuen String mit dem Teilstring von <em>startpos</em> mitder L&auml;nge length zur&uuml;ck</td></tr><tr><td >&nbsp;.replace(str, newstr)</td><td >Gibt einen neuen String zur&uuml;ck, in dem die Zeichenkette in&nbsp<em>str</em> durch die in&nbsp;<em>newstr</em> ersetzt ist.</td></tr></tbody></table><p>&nbsp;Weitere: trim(), concat(), charAt(), toLowerCase(), toUpperCase(), ...</p>",f,
11,2,"<p><strong>Kombination von Zahlen und</strong>&nbsp;<strong>Zeichenketten</strong></p><p>Wird eine Zahl zu einem String (oder ein String zu einer Zahl) addiert, so wird die Zahl zu einemString umgewandelt</p><ul><li>+ (Plus) ist auch das Zeichen f&uuml;r Konkatenation in JavaScript</li><li>Die Ausf&uuml;hrung geschieht von links nach rechts</li><li>Sobald ein String beteiligt ist, erfolgt eine Konkatenation</li></ul><p>(Konkatenation bedeutet, dass zwei Listen bzw. Strings aneinander geh&auml;ngt werden)</p>",f,
